melhor;pior;media;mediana
1443;-695054;-82964.43;150748.21332050706
1449;-1117675;-113519.795;178896.3474170252
1449;-1296947;-154307.01;234741.64724338948
1449;-986374;-151973.44;222145.57404915002
1449;-1305043;-169642.71;239812.38115040245
1449;-1337798;-200036.065;257269.22365564984
1449;-1577235;-206983.305;276630.981514638
1449;-1015716;-197276.645;248427.8600817126
1449;-1112023;-247996.105;255343.12823552542
1449;-1529136;-290824.475;295805.08841333236
1449;-1238153;-260309.405;269953.1144964084
1449;-1171452;-278192.475;301079.70834046486
1451;-1497376;-292860.87;335484.8365955205
1451;-1568812;-276534.51;321466.3119224002
1451;-1542835;-261520.435;294334.1704139799
1456;-1208816;-249285.545;292086.87639096007
1456;-1446398;-271805.45;297864.9116835306
1456;-1446398;-218651.255;277229.33498859743
1456;-1208816;-194020.995;224269.0361752932
1456;-1312976;-188857.265;248442.7904603689
1456;-1289925;-229346.83;272472.83761562564
1456;-1497376;-241921.545;279250.31117498863
1456;-1497376;-264209.43;316667.2217912759
1456;-1456312;-304383.92;346655.8075574439
1456;-1456312;-276262.565;316809.4045005384
1456;-1306450;-291981.295;295830.8746168797
1456;-1265992;-280620.055;295347.7866086556
1456;-1322520;-279014.44;308412.6357307307
1456;-1604052;-268923.23;313503.65091425506
1456;-1604052;-281024.76;323334.5240332872
1456;-1593753;-252129.225;296104.6486019839
1456;-1280988;-221809.255;279284.59246304655
1456;-1140412;-229651.705;268855.9240618625
1456;-1277856;-241377.635;302290.65522837744
1458;-1268436;-221159.75;273990.83798612223
1458;-1049148;-228629.185;256111.77786681495
1458;-987784;-191328.055;233987.79889120712
1458;-1143786;-183895.93;234162.93667428475
1458;-1262366;-235507.085;265894.2453816513
1458;-1529136;-280091.39;291260.4128558804
1458;-1593753;-289766.81;347843.36894976726
1458;-1274000;-297920.78;314245.7289682735
1458;-1604052;-276747.23;281688.551218233
1458;-1604052;-276695.025;300332.1171893948
1458;-1185106;-239893.905;274025.36430355493
